Device,Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Annotation
M5-IMU-Janice,27.10809350013733,-3.38,4.2,1.8,-2.58,2.97,-1.52,Unmarked
M5-IMU-Janice,27.231122732162476,-3.92,12.31,-2.31,-1.58,-2.33,-4.37,Unmarked
M5-IMU-Janice,27.409152030944824,19.46,11.45,-16.77,-1.97,-3.91,0.49,Unmarked
M5-IMU-Janice,27.410151958465576,14.44,19.46,-4.45,0.44,4.17,3.42,Unmarked
M5-IMU-Janice,27.53055167198181,0.94,11.95,-2.23,0.63,-0.55,0.41,Unmarked
M5-IMU-Janice,27.648651123046875,1.91,10.06,-1.27,0.13,-0.7,0.77,Unmarked
M5-IMU-Janice,27.70934557914734,-0.68,10.24,-0.94,-0.1,0.04,1.06,Unmarked
M5-IMU-Janice,27.829728603363037,-4.47,19.46,-1.3,-0.18,1.67,2.19,Unmarked
M5-IMU-Janice,27.950358629226685,-16.86,-3.25,1.25,0.91,-4.37,-0.56,Unmarked
M5-IMU-Janice,28.01121687889099,-5.02,17.61,-10.55,-2.13,-4.37,-2.87,Unmarked
M5-IMU-Janice,28.130052089691162,19.46,5.91,-14.23,-0.06,-0.79,1.72,Unmarked
M5-IMU-Janice,28.25070071220398,3.0,9.81,-0.24,-1.62,-1.74,-1.43,Unmarked
M5-IMU-Janice,28.309779405593872,-0.32,9.34,-1.29,0.67,-0.77,0.5,Unmarked
M5-IMU-Janice,28.43048906326294,0.91,9.84,-0.77,0.09,0.41,0.06,Unmarked
M5-IMU-Janice,28.548696517944336,-1.1,9.58,-1.16,0.02,-0.11,0.16,Unmarked
M5-IMU-Janice,28.611541509628296,-0.82,10.3,-0.98,-0.22,0.11,0.43,Unmarked
M5-IMU-Janice,28.73011064529419,-2.91,15.96,-1.63,-0.14,-0.13,1.68,Unmarked
M5-IMU-Janice,28.848680019378662,-2.7,5.31,0.25,-1.2,-0.17,0.44,Unmarked
M5-IMU-Janice,28.9090096950531,0.04,4.83,0.99,-1.62,-1.62,-3.16,Unmarked
M5-IMU-Janice,29.02963662147522,10.3,11.27,-5.49,-1.16,-0.38,-1.41,Unmarked
