Device,Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Annotation
MPY ESP32,26.79701805114746,0.82,9.6,0.27,0.03,-0.07,-0.0,Unmarked
MPY ESP32,26.902158975601196,0.59,9.57,0.12,0.03,-0.06,0.01,Unmarked
MPY ESP32,27.006946086883545,0.82,9.6,0.1,0.01,-0.04,0.02,Unmarked
MPY ESP32,27.112011909484863,0.79,9.64,0.07,0.01,-0.06,-0.0,Unmarked
MPY ESP32,27.23282504081726,0.75,9.62,0.03,0.01,-0.06,-0.02,Unmarked
MPY ESP32,27.322633028030396,0.76,9.67,-0.0,0.02,-0.07,-0.02,Unmarked
MPY ESP32,27.427154064178467,0.78,9.63,-0.09,0.02,-0.08,0.01,Unmarked
MPY ESP32,27.532071113586426,0.76,9.64,-0.06,0.0,-0.06,0.01,Unmarked
MPY ESP32,27.637054920196533,0.66,9.61,-0.09,0.01,-0.06,-0.02,Unmarked
MPY ESP32,27.742096185684204,0.69,9.6,-0.09,0.01,-0.06,0.0,Unmarked
MPY ESP32,27.8469500541687,0.67,9.63,-0.12,0.02,-0.05,0.0,Unmarked
MPY ESP32,27.9528329372406,0.74,9.66,-0.19,-0.0,-0.04,0.01,Unmarked
MPY ESP32,28.057597875595093,0.73,9.68,-0.27,-0.0,-0.03,0.01,Unmarked
MPY ESP32,28.16292405128479,0.63,9.63,-0.23,0.0,-0.03,-0.03,Unmarked
MPY ESP32,28.267813205718994,0.63,9.64,-0.25,-0.02,-0.03,-0.02,Unmarked
MPY ESP32,28.372579097747803,0.7,9.62,-0.22,-0.02,-0.04,-0.03,Unmarked
MPY ESP32,28.47727108001709,0.51,9.62,-0.26,-0.02,-0.06,-0.03,Unmarked
MPY ESP32,28.582317113876343,0.54,9.65,-0.25,-0.0,-0.06,-0.02,Unmarked
MPY ESP32,28.687386989593506,0.49,9.64,-0.25,-0.01,-0.07,0.01,Unmarked
MPY ESP32,28.792896032333374,0.37,9.58,-0.31,-0.01,-0.06,0.03,Unmarked
MPY ESP32,28.896966218948364,0.64,9.65,-0.26,0.0,-0.06,0.04,Unmarked
MPY ESP32,29.0025851726532,0.57,9.62,-0.33,-0.01,-0.05,0.04,Unmarked
MPY ESP32,29.108097076416016,0.55,9.59,-0.3,-0.01,-0.04,0.04,Unmarked
MPY ESP32,29.21246886253357,0.8,9.69,-0.3,-0.01,-0.05,0.03,Unmarked
MPY ESP32,29.317169904708862,0.63,9.61,-0.36,0.01,-0.07,0.01,Unmarked
MPY ESP32,29.421387910842896,0.74,9.62,-0.31,0.03,-0.11,0.02,Unmarked
MPY ESP32,29.526544094085693,0.68,9.66,-0.49,0.03,-0.11,0.05,Unmarked
MPY ESP32,29.63108205795288,0.64,9.62,-0.46,0.02,-0.07,0.04,Unmarked
MPY ESP32,29.737455129623413,0.69,9.6,-0.55,0.03,-0.01,0.04,Unmarked
MPY ESP32,29.843192100524902,0.88,9.59,-0.63,0.01,-0.01,0.07,Unmarked
MPY ESP32,29.948040008544922,1.01,9.66,-0.64,-0.01,0.0,0.03,Unmarked
MPY ESP32,30.05317497253418,0.98,9.65,-0.62,-0.03,-0.01,0.01,Unmarked
